,source,target,s_value,weight,metric,distance,proximity
845,9,24,1.0,0.0195996663887,True,50.0212765957,0.0195996663887
856,9,77,1.0,0.0576184379001,True,16.3555555556,0.0576184379001
862,9,92,1.0,0.0202720041057,True,48.3291139241,0.0202720041057
868,9,129,1.0,0.0433686333838,True,22.0581395349,0.0433686333838
880,9,180,1.0,0.0301234567901,True,32.1967213115,0.0301234567901
914,9,309,1.0,0.0489361702128,True,19.4347826087,0.0489361702128
922,9,331,1.0,0.00940665701881,True,105.307692308,0.00940665701881
924,9,341,1.0,0.052528548124,True,18.0372670807,0.052528548124
930,10,71,1.0,0.0902255639098,True,10.0833333333,0.0902255639098
932,10,101,1.0,0.0800865800866,True,11.4864864865,0.0800865800866
941,10,233,1.0,0.0411160058737,True,23.3214285714,0.0411160058737
943,10,262,1.0,0.0609137055838,True,15.4166666667,0.0609137055838
949,11,16,1.0,0.0617361610352,True,15.1979621543,0.0617361610352
950,11,19,1.0,0.0655448043753,True,14.2567394095,0.0655448043753
959,11,74,1.0,0.0677908651809,True,13.75125,0.0677908651809
965,11,111,1.0,0.0694505494505,True,13.3987341772,0.0694505494505
981,11,193,1.0,0.0614872931946,True,15.2635228849,0.0614872931946
988,11,247,1.0,0.049737496546,True,19.1055555556,0.049737496546
998,11,293,1.0,0.0760962293124,True,12.1412556054,0.0760962293124
1017,12,18,1.0,0.00483675937122,True,205.75,0.00483675937122
1048,12,136,1.0,0.100358422939,True,8.96428571429,0.100358422939
1057,12,161,1.0,0.10349915683,True,8.66191446029,0.10349915683
1072,12,214,1.0,0.105541455161,True,8.4749498998,0.105541455161
1115,12,369,1.0,0.0457888493476,True,20.8393782383,0.0457888493476
1124,13,86,1.0,0.0387387387387,True,24.8139534884,0.0387387387387
1126,13,95,1.0,0.0361328125,True,26.6756756757,0.0361328125
1131,13,164,1.0,0.0295809367297,True,32.8055555556,0.0295809367297
1133,13,177,1.0,0.0343642611684,True,28.1,0.0343642611684
1136,13,210,1.0,0.0443609022556,True,21.5423728814,0.0443609022556
1144,13,243,1.0,0.0269565217391,True,36.0967741935,0.0269565217391
1146,13,258,1.0,0.0470016207455,True,20.275862069,0.0470016207455
1153,13,325,1.0,0.0477568740955,True,19.9393939394,0.0477568740955
1155,13,329,1.0,0.0264227642276,True,36.8461538462,0.0264227642276
1157,13,348,1.0,0.0507575757576,True,18.7014925373,0.0507575757576
1181,14,85,1.0,0.036683107275,True,26.2605042017,0.036683107275
1183,14,90,1.0,0.0305131761442,True,31.7727272727,0.0305131761442
1198,14,154,1.0,0.0799038750375,True,11.515037594,0.0799038750375
1199,14,157,1.0,0.0339789330615,True,28.43,0.0339789330615
1212,14,203,1.0,0.0270935960591,True,35.9090909091,0.0270935960591
1234,14,299,1.0,0.016081871345,True,61.1818181818,0.016081871345
1239,14,311,1.0,0.0281970948448,True,34.4646464646,0.0281970948448
1243,14,332,1.0,0.0159122085048,True,61.8448275862,0.0159122085048
1256,15,30,1.0,0.0564263322884,True,16.7222222222,0.0564263322884
1268,15,60,1.0,0.12882339808,True,6.76256499133,0.12882339808
1283,15,119,1.0,0.0594262295082,True,15.8275862069,0.0594262295082
1291,15,136,1.0,0.0197331328698,True,49.6761904762,0.0197331328698
1299,15,161,1.0,0.0190513990871,True,51.4895833333,0.0190513990871
1303,15,170,1.0,0.00794551645857,True,124.857142857,0.00794551645857
1324,15,225,1.0,0.0284220100045,True,34.184,0.0284220100045
1327,15,237,1.0,0.0421574705518,True,22.7205882353,0.0421574705518
1371,16,19,1.0,0.0628963600035,True,14.8991712707,0.0628963600035
1378,16,74,1.0,0.059817152808,True,15.7176128093,0.059817152808
1382,16,111,1.0,0.062850932802,True,14.9106628242,0.062850932802
1398,16,193,1.0,0.0637280934679,True,14.6916666667,0.0637280934679
1405,16,247,1.0,0.0667185372496,True,13.9883381924,0.0667185372496
1412,16,293,1.0,0.0600260983036,True,15.6594202899,0.0600260983036
1414,16,301,1.0,0.0408163265306,True,23.5,0.0408163265306
1445,17,58,1.0,0.0289196071299,True,33.5786163522,0.0289196071299
1451,17,75,1.0,0.0704288939052,True,13.1987179487,0.0704288939052
1453,17,82,1.0,0.0299860529986,True,32.3488372093,0.0299860529986
1468,17,127,1.0,0.0314828166306,True,30.7633587786,0.0314828166306
1475,17,145,1.0,0.035153328347,True,27.4468085106,0.035153328347
1529,17,305,1.0,0.108108108108,True,8.25,0.108108108108
1540,17,327,1.0,0.0529089376054,True,17.9003984064,0.0529089376054
1553,17,364,1.0,0.0314842578711,True,30.7619047619,0.0314842578711
1626,18,248,1.0,0.0862266310568,True,10.5973451327,0.0862266310568
1645,18,300,1.0,0.0690765926986,True,13.4766839378,0.0690765926986
1651,18,314,1.0,0.0426094622392,True,22.4689655172,0.0426094622392
1664,18,365,1.0,0.013197586727,True,74.7714285714,0.013197586727
1678,19,74,1.0,0.0641549525989,True,14.5872611465,0.0641549525989
1683,19,111,1.0,0.0608615021495,True,15.4307479224,0.0608615021495
1700,19,193,1.0,0.0832631756188,True,11.0101112235,0.0832631756188
1710,19,229,1.0,0.0390710052014,True,24.5944272446,0.0390710052014
1717,19,247,1.0,0.0635406354064,True,14.7379603399,0.0635406354064
1728,19,293,1.0,0.0675731018101,True,13.7987878788,0.0675731018101
1746,19,347,1.0,0.0201517601692,True,48.6234567901,0.0201517601692
1753,20,115,1.0,0.0881147540984,True,10.3488372093,0.0881147540984
1754,20,148,1.0,0.0616883116883,True,15.2105263158,0.0616883116883
1759,20,176,1.0,0.0504322766571,True,18.8285714286,0.0504322766571
1765,20,250,1.0,0.0660066006601,True,14.15,0.0660066006601
1769,20,339,1.0,0.09375,True,9.66666666667,0.09375
1772,21,24,1.0,0.0385022960085,True,24.9724770642,0.0385022960085
1792,21,143,1.0,0.0483074753173,True,19.700729927,0.0483074753173
1793,21,149,1.0,0.059243006034,True,15.8796296296,0.059243006034
1804,21,191,1.0,0.029749576351,True,32.6139240506,0.029749576351
1826,21,288,1.0,0.0427637721755,True,22.384279476,0.0427637721755
1834,21,316,1.0,0.031983730819,True,30.2658959538,0.031983730819
1839,21,328,1.0,0.0834069623608,True,10.9894067797,0.0834069623608
1849,22,26,1.0,0.0468292682927,True,20.3541666667,0.0468292682927
1860,22,55,1.0,0.0478316326531,True,19.9066666667,0.0478316326531
1861,22,57,1.0,0.0282044121754,True,34.4554455446,0.0282044121754
1871,22,82,1.0,0.12423500612,True,7.04926108374,0.12423500612
1886,22,124,1.0,0.0215804506506,True,45.3382352941,0.0215804506506
1915,22,199,1.0,0.0457848837209,True,20.8412698413,0.0457848837209
1943,22,298,1.0,0.0239218328841,True,40.8028169014,0.0239218328841
1987,23,136,1.0,0.0338063439065,True,28.5802469136,0.0338063439065
2009,23,223,1.0,0.0369210114119,True,26.0848484848,0.0369210114119
2013,23,235,1.0,0.0573604060914,True,16.4336283186,0.0573604060914
2021,23,279,1.0,0.0409356725146,True,23.4285714286,0.0409356725146
2033,23,337,1.0,0.0492370295015,True,19.3099173554,0.0492370295015
2037,23,353,1.0,0.0148942508192,True,66.14,0.0148942508192
2039,23,369,1.0,0.0913229018492,True,9.95015576324,0.0913229018492
2042,24,30,1.0,0.0056985655335,True,174.482758621,0.0056985655335
2052,24,80,1.0,0.0246245197345,True,39.609929078,0.0246245197345
2055,24,91,1.0,0.00494942973962,True,201.043478261,0.00494942973962
2068,24,149,1.0,0.0406885758998,True,23.5769230769,0.0406885758998
2076,24,186,1.0,0.0529153354633,True,17.8981132075,0.0529153354633
2095,24,266,1.0,0.0369363244958,True,26.0736196319,0.0369363244958
2105,24,302,1.0,0.0276795005203,True,35.1278195489,0.0276795005203
2108,24,316,1.0,0.0467730239304,True,20.3798449612,0.0467730239304
2110,24,322,1.0,0.038198498749,True,25.1790393013,0.038198498749
2113,24,328,1.0,0.0582426778243,True,16.1695402299,0.0582426778243
2115,24,331,1.0,0.00889001778004,True,111.485714286,0.00889001778004
2129,25,29,1.0,0.0346218487395,True,27.8834951456,0.0346218487395
2132,25,44,1.0,0.0830836284391,True,11.0360655738,0.0830836284391
2140,25,67,1.0,0.0226656812023,True,43.1195652174,0.0226656812023
2144,25,78,1.0,0.0231868428148,True,42.1279069767,0.0231868428148
2191,25,198,1.0,0.0355344980752,True,27.1416666667,0.0355344980752
2216,25,274,1.0,0.0294568886161,True,32.9479166667,0.0294568886161
2230,25,303,1.0,0.0396475770925,True,24.2222222222,0.0396475770925
2255,26,39,1.0,0.106755337767,True,8.36721311475,0.106755337767
2263,26,55,1.0,0.0479084733643,True,19.8731343284,0.0479084733643
2301,26,182,1.0,0.0204009848751,True,48.0172413793,0.0204009848751
2367,27,46,1.0,0.0682953914492,True,13.6422764228,0.0682953914492
2402,27,171,1.0,0.0272321428571,True,35.7213114754,0.0272321428571
2413,27,209,1.0,0.104155423637,True,8.60103626943,0.104155423637
2420,27,236,1.0,0.0412991178829,True,23.213592233,0.0412991178829
2462,28,32,1.0,0.122543950362,True,7.16033755274,0.122543950362
2480,28,141,1.0,0.0296650717703,True,32.7096774194,0.0296650717703
2517,28,352,1.0,0.0416138036031,True,23.0304878049,0.0416138036031
2537,29,114,1.0,0.0848246241947,True,10.7890295359,0.0848246241947
2544,29,157,1.0,0.0115251632731,True,85.7666666667,0.0115251632731
2548,29,167,1.0,0.0174603174603,True,56.2727272727,0.0174603174603
2588,30,47,1.0,0.0230125523013,True,42.4545454545,0.0230125523013
2602,30,119,1.0,0.0626151012891,True,14.9705882353,0.0626151012891
2631,30,224,1.0,0.0311418685121,True,31.1111111111,0.0311418685121
2632,30,225,1.0,0.0295719844358,True,32.8157894737,0.0295719844358
2635,30,237,1.0,0.0986294664709,True,9.13895781638,0.0986294664709
2691,31,189,1.0,0.0283433133733,True,34.2816901408,0.0283433133733
2697,31,227,1.0,0.206692913386,True,3.8380952381,0.206692913386
2724,31,323,1.0,0.046942800789,True,20.3025210084,0.046942800789
2762,32,141,1.0,0.0356514084507,True,27.049382716,0.0356514084507
2774,32,170,1.0,0.00574162679426,True,173.166666667,0.00574162679426
2783,32,207,1.0,0.0774647887324,True,11.9090909091,0.0774647887324
2816,32,352,1.0,0.0433729101042,True,22.0558659218,0.0433729101042
2818,32,360,1.0,0.00461589185625,True,215.642857143,0.00461589185625
2824,33,71,1.0,0.0566534914361,True,16.6511627907,0.0566534914361
2842,33,233,1.0,0.337643678161,True,1.96170212766,0.337643678161
2867,34,61,1.0,0.0693928128872,True,13.4107142857,0.0693928128872
2877,34,98,1.0,0.0455319148936,True,20.9626168224,0.0455319148936
2878,34,102,1.0,0.0222634508349,True,43.9166666667,0.0222634508349
2883,34,114,1.0,0.0137672090113,True,71.6363636364,0.0137672090113
2884,34,117,1.0,0.0194591029024,True,50.3898305085,0.0194591029024
2918,34,251,1.0,0.0949678395762,True,9.52988047809,0.0949678395762
2939,34,310,1.0,0.0174767886401,True,56.21875,0.0174767886401
2949,34,362,1.0,0.0405234276066,True,23.6770833333,0.0405234276066
2978,35,107,1.0,0.0429852320675,True,22.263803681,0.0429852320675
2983,35,121,1.0,0.0467986030268,True,20.368159204,0.0467986030268
2990,35,139,1.0,0.0205494267791,True,47.6631578947,0.0205494267791
3003,35,175,1.0,0.062080858402,True,15.1080246914,0.062080858402
3009,35,195,1.0,0.0513798519183,True,18.4628820961,0.0513798519183
3012,35,202,1.0,0.0198221092757,True,49.4487179487,0.0198221092757
3042,35,282,1.0,0.0413648494091,True,23.1751152074,0.0413648494091
3124,36,204,1.0,0.0370946822309,True,25.958041958,0.0370946822309
3126,36,207,1.0,0.0508533611982,True,18.6643835616,0.0508533611982
3145,36,270,1.0,0.0352449223417,True,27.3728813559,0.0352449223417
3165,36,337,1.0,0.0186655224201,True,52.5747126437,0.0186655224201
3169,36,352,1.0,0.105442176871,True,8.48387096774,0.105442176871
3176,37,44,1.0,0.0556868925663,True,16.9575471698,0.0556868925663
3186,37,66,1.0,0.0133708655876,True,73.7894736842,0.0133708655876
3198,37,113,1.0,0.0413597733711,True,23.1780821918,0.0413597733711
3242,37,234,1.0,0.0926508435802,True,9.79320987654,0.0926508435802
3260,37,299,1.0,0.0614268440145,True,15.2795275591,0.0614268440145
3287,39,73,1.0,0.0112810228127,True,87.6444444444,0.0112810228127
3298,39,124,1.0,0.0487562189055,True,19.5102040816,0.0487562189055
3310,39,166,1.0,0.0198257735056,True,49.4393939394,0.0198257735056
3338,39,275,1.0,0.0245271867612,True,39.7710843373,0.0245271867612
3347,39,298,1.0,0.0422929045788,True,22.6446280992,0.0422929045788
3353,39,319,1.0,0.078869047619,True,11.679245283,0.078869047619
3365,41,55,1.0,0.0492537313433,True,19.303030303,0.0492537313433
3373,41,77,1.0,0.0150624540779,True,65.3902439024,0.0150624540779
3383,41,124,1.0,0.0219657483246,True,44.5254237288,0.0219657483246
3394,41,166,1.0,0.0205620287868,True,47.6333333333,0.0205620287868
3428,41,298,1.0,0.154365436544,True,5.47813411079,0.154365436544
3442,41,345,1.0,0.0207382828702,True,47.22,0.0207382828702
3455,42,125,1.0,0.0140632847815,True,70.1071428571,0.0140632847815
3461,42,184,1.0,0.151059466849,True,5.61990950226,0.151059466849
3472,42,317,1.0,0.132371392723,True,6.55450236967,0.132371392723
3476,42,335,1.0,0.147462686567,True,5.78137651822,0.147462686567
3480,42,359,1.0,0.0639324487334,True,14.641509434,0.0639324487334
3493,43,92,1.0,0.0768786127168,True,12.007518797,0.0768786127168
3499,43,129,1.0,0.0245059288538,True,39.8064516129,0.0245059288538
3508,43,180,1.0,0.0540177371674,True,17.5124378109,0.0540177371674
3530,43,271,1.0,0.0253757083025,True,38.4077669903,0.0253757083025
3531,43,273,1.0,0.0335144927536,True,28.8378378378,0.0335144927536
3533,43,276,1.0,0.0105503279156,True,93.7837837838,0.0105503279156
3544,43,330,1.0,0.054587306807,True,17.3192771084,0.054587306807
3564,44,67,1.0,0.0269213069489,True,36.1452991453,0.0269213069489
3566,44,72,1.0,0.0126849894292,True,77.8333333333,0.0126849894292
3568,44,78,1.0,0.0285499624343,True,34.0263157895,0.0285499624343
3583,44,132,1.0,0.037037037037,True,26.0,0.037037037037
3594,44,156,1.0,0.0139046538025,True,70.9183673469,0.0139046538025
3602,44,183,1.0,0.0354922279793,True,27.1751824818,0.0354922279793
3608,44,198,1.0,0.0264079762867,True,36.8673469388,0.0264079762867
3632,44,274,1.0,0.0344146685472,True,28.0573770492,0.0344146685472
3664,45,66,1.0,0.109223822834,True,8.15551181102,0.109223822834
3755,45,366,1.0,0.141331142153,True,6.07558139535,0.141331142153
3794,46,209,1.0,0.058434399118,True,16.1132075472,0.058434399118
3805,46,248,1.0,0.063042485153,True,14.8623188406,0.063042485153
3821,46,308,1.0,0.0461956521739,True,20.6470588235,0.0461956521739
3840,47,91,1.0,0.0818181818182,True,11.2222222222,0.0818181818182
3853,47,173,1.0,0.0107744107744,True,91.8125,0.0107744107744
3862,47,206,1.0,0.0739059967585,True,12.5307017544,0.0739059967585
3876,47,249,1.0,0.0484922575387,True,19.6218487395,0.0484922575387
3922,48,109,1.0,0.0407378939277,True,23.5471698113,0.0407378939277
3927,48,128,1.0,0.0134228187919,True,73.5,0.0134228187919
3941,48,160,1.0,0.048465266559,True,19.6333333333,0.048465266559
3987,48,332,1.0,0.0711566617862,True,13.0534979424,0.0711566617862
4051,49,197,1.0,0.0266365688488,True,36.5423728814,0.0266365688488
4067,49,253,1.0,0.067160924553,True,13.8896103896,0.067160924553
4088,49,307,1.0,0.0312857687905,True,30.9634146341,0.0312857687905
4091,49,323,1.0,0.0384482161413,True,25.009009009,0.0384482161413
4092,49,324,1.0,0.0736278447122,True,12.5818181818,0.0736278447122
4100,49,350,1.0,0.0488262910798,True,19.4807692308,0.0488262910798
4131,50,157,1.0,0.0344168260038,True,28.0555555556,0.0344168260038
4145,50,203,1.0,0.021021021021,True,46.5714285714,0.021021021021
4152,50,230,1.0,0.0320629159105,True,30.1886792453,0.0320629159105
4156,50,244,1.0,0.0608537693006,True,15.4328358209,0.0608537693006
4171,50,311,1.0,0.040380952381,True,23.7641509434,0.040380952381
4214,51,157,1.0,0.0414465664364,True,23.1274509804,0.0414465664364
4220,51,183,1.0,0.0157612340711,True,62.4468085106,0.0157612340711
4228,51,213,1.0,0.10152284264,True,8.85,0.10152284264
4256,51,311,1.0,0.0309617918314,True,31.2978723404,0.0309617918314
4261,51,361,1.0,0.0214818062253,True,45.5510204082,0.0214818062253
4285,52,130,1.0,0.064596716631,True,14.4806629834,0.064596716631
4307,52,209,1.0,0.0393883225209,True,24.3882352941,0.0393883225209
4332,52,284,1.0,0.0604416892677,True,15.5448717949,0.0604416892677
4343,52,314,1.0,0.0432752179328,True,22.1079136691,0.0432752179328
4403,53,175,1.0,0.128720525705,True,6.76876876877,0.128720525705
4443,53,296,1.0,0.0148404650012,True,66.3833333333,0.0148404650012
4447,53,306,1.0,0.0461847389558,True,20.652173913,0.0461847389558
4458,53,342,1.0,0.164840182648,True,5.06648199446,0.164840182648
4471,54,63,1.0,0.0397867104184,True,24.1340206186,0.0397867104184
4476,54,79,1.0,0.0237859266601,True,41.0416666667,0.0237859266601
4479,54,87,1.0,0.159542743539,True,5.26791277259,0.159542743539
4490,54,130,1.0,0.014468371467,True,68.1162790698,0.014468371467
4495,54,159,1.0,0.0201646090535,True,48.5918367347,0.0201646090535
4498,54,179,1.0,0.020796460177,True,47.085106383,0.020796460177
4503,54,190,1.0,0.0540897097625,True,17.487804878,0.0540897097625
4543,54,365,1.0,0.0768573868488,True,12.0111111111,0.0768573868488
4604,55,275,1.0,0.0246991766941,True,39.4871794872,0.0246991766941
4640,57,58,1.0,0.0753704101353,True,12.2678062678,0.0753704101353
4719,57,276,1.0,0.0254010695187,True,38.3684210526,0.0254010695187
4739,57,315,1.0,0.0870535714286,True,10.4871794872,0.0870535714286
4788,58,127,1.0,0.0517092167893,True,18.3389121339,0.0517092167893
4793,58,134,1.0,0.0465838509317,True,20.4666666667,0.0465838509317
4799,58,145,1.0,0.0620922384702,True,15.1050724638,0.0620922384702
4814,58,182,1.0,0.0266636791396,True,36.5042016807,0.0266636791396
4843,58,254,1.0,0.0277194456111,True,35.0757575758,0.0277194456111
4866,58,305,1.0,0.0345762711864,True,27.9215686275,0.0345762711864
4912,59,204,1.0,0.0440501682472,True,21.7013888889,0.0440501682472
4919,59,225,1.0,0.0159521435693,True,61.6875,0.0159521435693
4927,59,326,1.0,0.00463883366468,True,214.571428571,0.00463883366468
4928,59,331,1.0,0.0524737631184,True,18.0571428571,0.0524737631184
4930,59,343,1.0,0.0180768265127,True,54.3194444444,0.0180768265127
4931,59,349,1.0,0.0148799458911,True,66.2045454545,0.0148799458911
4932,59,352,1.0,0.0749185667752,True,12.347826087,0.0749185667752
4937,60,86,1.0,0.00606060606061,True,164.0,0.00606060606061
4942,60,119,1.0,0.0706721417765,True,13.1498470948,0.0706721417765
4966,60,196,1.0,0.0301733843729,True,32.1417910448,0.0301733843729
4967,60,204,1.0,0.0165685633312,True,59.3552631579,0.0165685633312
4987,60,249,1.0,0.0258426966292,True,37.6956521739,0.0258426966292
5009,60,349,1.0,0.0206482593037,True,47.4302325581,0.0206482593037
5033,61,107,1.0,0.023742227247,True,41.119047619,0.023742227247
5043,61,147,1.0,0.0627802690583,True,14.9285714286,0.0627802690583
5057,61,189,1.0,0.0481470674059,True,19.7696969697,0.0481470674059
5080,61,251,1.0,0.0491603053435,True,19.3416149068,0.0491603053435
5087,61,259,1.0,0.0140364188164,True,70.2432432432,0.0140364188164
5099,61,285,1.0,0.0409105905642,True,23.4435483871,0.0409105905642
5105,61,296,1.0,0.0305637982196,True,31.7184466019,0.0305637982196
5112,61,307,1.0,0.0481366459627,True,19.7741935484,0.0481366459627
5155,63,125,1.0,0.0832943378568,True,11.0056179775,0.0832943378568
5164,63,153,1.0,0.0791814946619,True,11.6292134831,0.0791814946619
5174,63,179,1.0,0.0401069518717,True,23.9333333333,0.0401069518717
5202,63,260,1.0,0.044044044044,True,21.7045454545,0.044044044044
5222,63,313,1.0,0.0353513035793,True,27.2875,0.0353513035793
5247,64,88,1.0,0.0429116338207,True,22.3037037037,0.0429116338207
5249,64,90,1.0,0.0178372352285,True,55.0625,0.0178372352285
5256,64,107,1.0,0.0318212593094,True,30.4255319149,0.0318212593094
5266,64,139,1.0,0.0597886540601,True,15.7255813953,0.0597886540601
5298,64,282,1.0,0.0254332658114,True,38.3185840708,0.0254332658114
5355,65,163,1.0,0.014502094747,True,67.9555555556,0.014502094747
5367,65,217,1.0,0.0490451388889,True,19.389380531,0.0490451388889
5383,65,278,1.0,0.039512195122,True,24.3086419753,0.039512195122
5393,65,332,1.0,0.0236016812156,True,41.3698630137,0.0236016812156
5396,65,366,1.0,0.037454164484,True,25.6993006993,0.037454164484
5398,65,368,1.0,0.0506965944272,True,18.7251908397,0.0506965944272
5428,66,217,1.0,0.0251985757327,True,38.6847826087,0.0251985757327
5447,66,354,1.0,0.0750996433816,True,12.3156424581,0.0750996433816
5463,67,113,1.0,0.0333584148483,True,28.977443609,0.0333584148483
5466,67,132,1.0,0.0818181818182,True,11.2222222222,0.0818181818182
5469,67,144,1.0,0.0321913083467,True,30.0642857143,0.0321913083467
5474,67,157,1.0,0.0209366391185,True,46.7631578947,0.0209366391185
5501,67,274,1.0,0.0497267759563,True,19.1098901099,0.0497267759563
5512,67,303,1.0,0.0410256410256,True,23.375,0.0410256410256
5527,67,361,1.0,0.0640318627451,True,14.6172248804,0.0640318627451
5538,69,100,1.0,0.237053245806,True,3.21846153846,0.237053245806
5624,69,355,1.0,0.0756227758007,True,12.2235294118,0.0756227758007
5625,69,360,1.0,0.0187723480334,True,52.2698412698,0.0187723480334
5634,70,76,1.0,0.103634577603,True,8.64928909953,0.103634577603
5644,70,125,1.0,0.0406587750901,True,23.5949367089,0.0406587750901
5645,70,128,1.0,0.0865539452496,True,10.5534883721,0.0865539452496
5696,70,318,1.0,0.0225398570643,True,43.3658536585,0.0225398570643
5708,71,101,1.0,0.132508833922,True,6.54666666667,0.132508833922
5710,71,118,1.0,0.101923076923,True,8.81132075472,0.101923076923
5714,71,167,1.0,0.00298685782557,True,333.8,0.00298685782557
5723,71,262,1.0,0.0725244072524,True,12.7884615385,0.0725244072524
5739,72,93,1.0,0.0565539112051,True,16.6822429907,0.0565539112051
5745,72,114,1.0,0.0320579110651,True,30.1935483871,0.0320579110651
5753,72,144,1.0,0.020537601933,True,47.6911764706,0.020537601933
5763,72,169,1.0,0.0311614730878,True,31.0909090909,0.0311614730878
5771,72,197,1.0,0.0121951219512,True,81.0,0.0121951219512
5791,72,256,1.0,0.00845410628019,True,117.285714286,0.00845410628019
5823,73,77,1.0,0.0242837653479,True,40.1797752809,0.0242837653479
5831,73,116,1.0,0.0596162631339,True,15.7739463602,0.0596162631339
5832,73,129,1.0,0.0401269553389,True,23.9209039548,0.0401269553389
5842,73,180,1.0,0.0307760927743,True,31.4927536232,0.0307760927743
5870,73,271,1.0,0.0673984632272,True,13.8371335505,0.0673984632272
5872,73,273,1.0,0.0246023856859,True,39.6464646465,0.0246023856859
5887,73,309,1.0,0.0480377439417,True,19.8169642857,0.0480377439417
5913,74,111,1.0,0.0706224350205,True,13.1598062954,0.0706224350205
5925,74,188,1.0,0.014147735002,True,69.6826923077,0.014147735002
5927,74,193,1.0,0.0712851405622,True,13.0281690141,0.0712851405622
5931,74,229,1.0,0.0334504908496,True,28.8949275362,0.0334504908496
5935,74,247,1.0,0.0593006488825,True,15.8632218845,0.0593006488825
